p_date;Client Name;Cost (USD);Clicks;Impressions;Sales;GMV
01/01/2025;DEF;1,359;208730;3076808;15860;10,135
15/01/2025;XYZ;1,928;5714;4203787;194;10,632
28/01/2025;DEF;2,786;153481;10252866;11533;113,409
31/01/2025;DEF;2,226;108236;9709253;7847;125,094
23/01/2025;DEF;2,73;161019;11562560;11974;134,341
30/01/2025;DEF;2,777;161851;11848095;11778;136,984
03/01/2025;DEF;873;54811;2623882;5315;14,128
02/01/2025;DEF;1,268;186958;2965989;14581;15,088
16/01/2025;XYZ;1,979;6357;4555746;235;15,417
10/01/2025;XYZ;5,694;24254;7799324;163;15,458
08/01/2025;XYZ;5,857;21621;7064233;194;15,489
07/01/2025;XYZ;6,387;21040;7884512;204;15,52
25/01/2025;DEF;2,72;157268;10904813;11605;153,033
27/01/2025;DEF;2,857;162755;10429240;11270;153,412
26/01/2025;DEF;2,773;157990;10446469;9531;157,576
29/01/2025;XYZ;3,745;10142;5486009;275;17,05
02/01/2025;XYZ;7,744;30202;7373542;275;18,285
06/01/2025;XYZ;7,081;22978;7878074;224;18,519
30/01/2025;XYZ;3,479;9112;5373821;245;18,591
27/01/2025;XYZ;2,561;6530;3985198;214;18,621
20/01/2025;XYZ;2,194;6377;4329270;143;18,795
05/01/2025;XYZ;6,938;23152;6315920;347;18,989
24/01/2025;DEF;2,625;144681;10624187;11124;182,253
14/01/2025;XYZ;2,377;16407;4264804;224;19,091
26/01/2025;XYZ;4,01;6241;5304519;235;20,489
21/01/2025;XYZ;2,082;5612;3716683;133;20,774
03/01/2025;XYZ;7,612;31212;8831049;418;21,142
31/01/2025;XYZ;3,306;8877;5253032;296;22,999
11/01/2025;XYZ;7,663;29692;7466914;531;225,997
24/01/2025;XYZ;2,979;8198;4224735;235;26,172
04/01/2025;XYZ;7,51;24427;6841359;224;26,335
14/01/2025;DEF;1,263;99709;4125012;7546;28,196
13/01/2025;DEF;1,188;76122;3447283;6020;31,443
09/01/2025;XYZ;5,806;23407;7813404;224;33,651
07/01/2025;DEF;1,789;143674;5248891;11030;33,766
06/01/2025;DEF;1,684;137890;4747649;10857;38,081
19/01/2025;XYZ;1,755;5234;3624045;173;40,069
08/01/2025;DEF;1,876;140844;4937440;10614;40,414
04/01/2025;DEF;1,848;126323;5505013;9626;43,81
25/01/2025;XYZ;4,081;10444;5261083;408;47,681
08/01/2025;ABC;9,512;284677;12866260;35950;491,823
22/01/2025;ABC;11,24;265997;12203615;7963;499,949
01/01/2025;XYZ;6,051;19683;7203838;133;5,347
23/01/2025;XYZ;2,377;5158;4082967;306;50,344
13/01/2025;XYZ;2,857;22254;5084665;367;51,119
07/01/2025;ABC;9,338;268475;12659766;35128;517,912
05/01/2025;DEF;1,892;146480;4759218;11445;52,016
29/01/2025;ABC;8,415;252071;7985232;9574;522,313
28/01/2025;ABC;8,138;252092;7084852;9217;554,926
15/01/2025;DEF;2,623;98904;10409781;6717;56,581
09/01/2025;DEF;2,026;143042;4807670;10388;56,969
27/01/2025;ABC;8,508;248742;7197762;9266;582,019
21/01/2025;ABC;10,467;263542;7915399;8219;606,053
13/01/2025;ABC;8,531;484168;18000612;20900;620,71
30/01/2025;ABC;8,911;245391;8249812;9549;624,441
26/01/2025;ABC;8,911;225643;6933077;10073;626,172
09/01/2025;ABC;10,306;308917;13278983;38990;633,086
10/01/2025;ABC;5,437;311620;12208874;10515;639,73
18/01/2025;XYZ;2,255;5877;4309577;224;64,629
17/01/2025;ABC;11,564;739398;11145126;14805;645,007
28/01/2025;XYZ;3,194;8540;4707013;163;65,761
04/01/2025;ABC;8,672;254624;12520316;31392;667,116
20/01/2025;ABC;12,783;683176;10916603;10269;668,397
31/01/2025;ABC;9,34;225110;12384659;9421;687,119
22/01/2025;DEF;2,724;161562;11118630;12103;69,25
23/01/2025;ABC;10,143;255106;8361995;9857;695,016
01/01/2025;ABC;7,935;293468;12724017;20967;702,727
15/01/2025;ABC;11,561;456425;19962800;18453;704,888
02/01/2025;ABC;8,302;288026;12591042;38881;709,694
24/01/2025;ABC;9,735;207774;7873078;10341;710,877
12/01/2025;XYZ;11,061;57762;7311454;1041;712,785
16/01/2025;ABC;10,626;565399;8594998;14834;728,206
18/01/2025;ABC;12,362;786591;12920945;14468;757,778
11/01/2025;DEF;3,093;150535;7704706;10828;78,259
03/01/2025;ABC;8,095;234880;10516911;30362;783,108
19/01/2025;ABC;11,993;746569;12283918;12194;787,666
19/01/2025;DEF;2,733;118126;10097712;8493;80,683
16/01/2025;DEF;2,975;118746;10478850;8270;85,609
14/01/2025;ABC;10,491;508602;20713542;23039;859,534
29/01/2025;DEF;2,803;172060;10389086;12720;88,243
06/01/2025;ABC;9,148;257077;12880827;31637;882,225
12/01/2025;DEF;2,895;108802;6039225;7839;89,081
17/01/2025;XYZ;2,184;7265;4965324;153;9,632
22/01/2025;XYZ;1,857;5061;3423751;230;9,836
18/01/2025;DEF;2,916;128470;10567055;9155;90,78
05/01/2025;ABC;8,774;255605;12084517;31670;905,843
25/01/2025;ABC;10,441;233966;8938121;10049;916,184
20/01/2025;DEF;2,733;133456;10761344;9754;92,274
11/01/2025;ABC;6,18;326103;14213049;12500;923,664
17/01/2025;DEF;3,009;115371;10516893;8222;95,768
10/01/2025;DEF;2,651;140239;7051554;9845;96,086
12/01/2025;ABC;9,239;455281;21892835;23738;969,703
21/01/2025;DEF;2,675;144898;10961867;10664;98,543
